doc_id,year,author,title,jury_1,jury_2,jury_3,jury_4,jury_5
HEI_000549--000004_411209,1971,,Franco-British relations and European integration 1945-50,MULFORD JAY COLEBROOK United States,MULFORD JAY COLEBR,Jacques FREYMOND,Louis J. HALLE,M. Denis de ROUGEMONT
HEI_000549--000005_411209,1970,,Comparative thoughts on overpopulation between the two world wars,Johannes OVERBEEK,Jacques LHUILLIER,M. Gilbert ETIENNE,Thomas GUGGENHEIM,Ricardo
HEI_000550--000001_411209,1971,,Greece and the Entente,CM O O X O H i i,Christos Achille THEODOULOU,S- -,J-SïxfeJ X-sXx 1,S M i-x Xx
HEI_000550--000002_411209,1971,,International patent-legislation and developing countries,D CO O CJ OJ,Pierre Lalive,Michel Virally,Saïd El-Naggar,lUniver
HEI_000550--000003_411209,1970,,Dumping since the war,Pierre LAL VE,Henri SCHWAMM,M. Ake,Jacques F,Paul Reuter
HEI_000550--000004_410301,1970,,The bi-national idea in Palestine during mandatory times,Jacques FREYMOND,Saul,V Univer,Lee Haitis To my Israeli and Arab,Hymann and Mr. Philipp of the Zionist Archives
HEI_000550--000005_410301,1972,,Trade union foreign policy,CM CO O CO,CM O B,Robert Cox,M. Roy A. Preiswek,I must
HEI_000550--000006_410301,1971,,Contribution à une étude sur les normes impératives en droit international (jus cogens),Mme DENISE BINDSCHEDLER,Mlle KRYSTYNA MAREK,dEtats,Biuicaireist,L. OPPEN HEIM
HEI_000551--000001_410301,1972,,Multinational banking,STUART WILLIAM ROBINSON,Pierre LALIVE,Henri SCHWAMM,M. Philip CORTNEY,To Stuart William Robinson and Mary Buckley Robinson
HEI_000551--000002_410301,1974,,"British thinking about nuclear weapons, 1940-1962",Louis J. HALLE,M. Urs SCHWARZ,Introduction i Part One The Background 1 The Wartime Project 1 The First Decision,Massive Retaliation,Graduated Deterrence
HEI_000551--000003_410206,1972,,La participation du syndicalisme à la construction nationale en Afrique.,Luis C. NÜNES,Luis C. NUNES C,Jacques Freymond,Gilbert Etienne,Robert Cox
HEI_000551--000004_410206,1972,,Les entreprises conjointes internationales dans les pays en voie de développement,Jean-Pierre BÉGUIN Rochefort,Jean-Pierre BÉGUIN,Jacques F REYMOND,Pierre LALIVE,lUni
HEI_000551--000005_410206,1973,,La Commission d'investigation et de conciliation en matière de liberté syndicale de l'organisation i,Démétre C. YIANNOPOULOS,Michel VIRALLY,Jean SIOTIS,Ernest A. LANDY,Jacques Frey-
HEI_000552--000001_410206,1972,,Le Portugal et le Congo au XIXe siècle,Françoise LATOUR,BORDEAUX BISCAYE,Jacques Freymond,Paul Guichonnet,Henri Brunschwig
HEI_000552--000002_410206,1973,,Le Comité international de la Croix-Rouge et la protection des détenus politiques,JACQUES MOREILLON,LAGE DHOMME LAUSANNE 1973,JACQUES MOREILLO N,Jacques FREYMOND,Jean PICTET
HEI_000552--000003_410206,1973,,La droite française et la Guerre d'Espagne,Hygiène,Catherine BREEN,Catherine B REEN,Jacques Freymond,Saul Friedländer
HEI_000552--000004_410206,1971,,The Baghdad pact in world politics,Hautes Etudes Internationales,Raouf Abdel EL,Hygiène 1971,Simon Jargy,Messieurs
HEI_000552--000005_410206,1973,,France's postwar cultural policies and activities in Germany,D.C. Balmar Reprographies,Jacques FREYMOND,Alfred GROSSER,Many who,Genevlbve Carrez
HEI_000552--000006_410206,1972,,China and the Afro-Asian peoples' solidarity organization 1958-1967,Gilbert ETIENNE,Alexandre CASELLA,- i i i - TABLE OF CONTENTS Page,66 III,Afro-Asian Jurist Conference
HEI_000553--000001_410206,1972,,"Central American integration, 1950-1968",Jacques FREYMOND,Georges ABI-SAAB,Roy PREIS WERK,Jean SIOTIS,Catalog Card
HEI_000553--000002_410206,1972,,Entreprises à caractère juridiquement international,Emmanuel LIBBRECHT,EmmanuelLIB BRECHT,Pierre LALIVE,Philippe CAHIER,M. Prosper WEIL
HEI_000553--000003_411209,1973,,The europecentric historiography of Russia,CENTURY RUSSIAN,Elizabeth BEVERLY,Elizabeth BEVER LY,Miklos MOLNAR,Jacques Freymond
HEI_000553--000004_411209,1973,,La responsabilité pour dommages nucléaires,Michel Virally,Georges Abi-Saab,Philippe Cahier,M. Urs,Schwarz
HEI_000553--000005_411209,1973,,Anatomie d'une défaite,Ladislas MYSYROWICZ,Ladislas MYSYROWIÇZ,Jacques FREYMOND,M. Luc MONNIER,M. Urs SCHWARZ
HEI_000553--000006_411209,1976,,"Malaysian policies in South-East Asia, 1957-1970",Guat Hoon KHAW,Jacques FREYMOND,John S. HADWEN,V Malayan-Thai Border Cooperation 99 VI Malayan Policies Towards the War in Vietnam,Malayan Chinese Association MCP
HEI_000554--000001_411209,1977,,Die Ursprünge des Bolschewismus,Jacques Freymond,M. Miklos Molnar,M. Franco Venturi,geben ausschließlidi die Auffassung,Johannes Berdimans Verlag GmbH München Gesamtherstellung
HEI_000554--000002_410206,1977,,La Petite Entente et l'Europe,OJ CO O X O t- I A OOTE,NICOLAE lORDACHE,Jacques FREYMOND,Mme Marlis,M. Virgil
HEI_000554--000003_410206,1976,,Planning and economic policy in Mali,CM CO O X O H-,William Irvin JONES,William Irvln JONES,William I. JONES,Gilbert ETIENNE
HEI_000554--000004_410206,1976,,La Conférence des ministres alliés de l'éducation (Londres 1942-1945),CJ OJ,DENIS MYLONAS,ALLIES DE LÉDUCATION,Etablissements Emile Bruylant,S. A.
HEI_000555--000001_410206,1972,,La Grande-Bretagne et la Petite Entente,Jacques FREYMOND,Mme Marlis STEINERT,Saul,Saul FRIEDLÄNDER,dEtats
HEI_000555--000002_410206,1972,,The anational corporation,Philippe CAHIER,Gerard CURZON,Lucius CAFLISCH,Henri SCHWAMM,Copyright Earl Perry
HEI_000555--000003_411209,1972,,Beyond the Caribbean states,Roy PREISWERK,Jean SIOTIS,M. Jeffrey HARROD,Roy Preiswerk and Jeffrey Harrod for their guidance,Roger Baldwin and Tim and Chris Knowles
HEI_000555--000004_411209,1972,,A western image of Japan,iîâS I,2Îlâj,MUOVA,MM. Saul FRIEDLÄNDER,Louis J. HALLE
HEI_000555--000005_411209,1974,,Dimensions historiques de modèles dynamiques de conflits,Urs LUTERBACHER Péry,Jacques Freymond,Saul Fried,Jean Siotis,Bruno Zwahlen
HEI_000555--000006_411209,1974,,Les réfugiés en Afrique,B i K,B. H.,Jacques Freymond,Jean Siotis,M. Atle Grahl-Madsen
HEI_000555--000007_411209,1974,,The essentials of economic integration,Jacques LHuillier,M. Olivier Long,Alfred Wacker,Harry G. Johnson and the Trade Policy Research Centre,European Integration
HEI_000555--000008_411209,1974,,Delimitation of international boundaries,Philippe CAHIER,M. Shabtaï ROSENNE,American specialist,A.W. Boggs,Denise Bindschedler
HEI_000556--000001_411209,1973,,"La crise dominicaine, 1965",Piero GLEIJESES,Piero GLEI J ESES,A. G. BATTAIA Via Alamanni,Jacques FREYMOND,M. Dusan SIDJANSKI
